"filename", "language", "JSON", "Markdown", "HTML", "Vue", "TypeScript", "SCSS", "CSS", "TypeScript React", "JavaScript", "comment", "blank", "total"
"c:\Users\dell\Desktop\property\src\styles\mixin.scss", "SCSS", 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 1, 22
"c:\Users\dell\Desktop\property\src\styles\normalize.scss", "SCSS", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\dell\Desktop\property\src\styles\reset.scss", "SCSS", 0, 0, 0, 0, 0, 50, 0, 0, 0, 6, 8, 64
"c:\Users\dell\Desktop\property\src\styles\transition.scss", "SCSS", 0, 0, 0, 0, 0, 35, 0, 0, 0, 4, 10, 49
"c:\Users\dell\Desktop\property\src\styles\variable.scss", "SCSS", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 4, 9
"c:\Users\dell\Desktop\property\src\utils\auth.ts", "TypeScript", 0, 0, 0, 0, 41, 0, 0, 0, 0, 1, 6, 48
"c:\Users\dell\Desktop\property\src\utils\config.ts", "TypeScript", 0, 0, 0, 0, 10, 0, 0, 0, 0, 3, 2, 15
"c:\Users\dell\Desktop\property\src\utils\exportFile.ts", "TypeScript", 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 5, 34
"c:\Users\dell\Desktop\property\src\utils\global.ts", "TypeScript", 0, 0, 0, 0, 8, 0, 0, 0, 0, 1, 2, 11
"c:\Users\dell\Desktop\property\src\utils\http.ts", "TypeScript", 0, 0, 0, 0, 72, 0, 0, 0, 0, 8, 10, 90
"c:\Users\dell\Desktop\property\src\utils\routerPermission.ts", "TypeScript", 0, 0, 0, 0, 40, 0, 0, 0, 0, 2, 7, 49
"c:\Users\dell\Desktop\property\src\views\error\404.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\dell\Desktop\property\src\views\investmentManage\components\InvestmentChangesCapital.vue", "Vue", 0, 0, 0, 207, 0, 0, 0, 0, 0, 3, 9, 219
